dataset,epoch,batch,similarity_rate,filters,decoder_filter_reverse,kernel_sizes,ed_only,loss_history,similarity_history,reconstruction_history,model,recon,mse,mae,common_nn,common_nn_kmeans,rand_index
GunPoint,10,10,0.0001,"[64, 32, 16]",True,"[5, 5, 5]",False,"[42.430767, 6.2508216, 3.6220465, 2.547974, 2.013225, 1.7136685, 1.4619238, 1.2621515, 1.1557391, 1.028991]","[243.42952, 11.517731, 5.871215, 3.7368228, 2.8426628, 2.2484972, 1.7800703, 1.5126089, 1.3362858, 1.1494801]","[42.410637, 6.250296, 3.6218216, 2.547856, 2.0131423, 1.7136147, 1.4618917, 1.2621263, 1.1557208, 1.0289786]",two_encoder,0.010881215711211352,1.065777675695737,1.562146737217077,0.42,3.1066666666666665,1.0
GunPoint,10,10,0.0001,"[64, 32, 16]",False,"[5, 5, 5]",False,"[12.013959, 1.8856148, 1.2910624, 1.0016501, 0.8323877, 0.7135226, 0.6281087, 0.5530243, 0.5069261, 0.4792755]","[84.85854, 2.0061612, 1.3022466, 0.9350336, 0.7665414, 0.6591403, 0.6099403, 0.57769644, 0.75097805, 0.99732804]","[12.006672, 1.8856026, 1.2910609, 1.0016567, 0.8323943, 0.713528, 0.6281106, 0.553022, 0.5069017, 0.47922337]",two_encoder,0.00929482171574494,2.0630347405677503,5.665965331416253,0.37333333333333335,3.36,1.0
GunPoint,10,10,0.0001,"[64, 32, 16]",True,"[5, 5, 5]",False,"[14.944795, 2.2910237, 1.5394002, 1.1832165, 0.9602634, 0.83962506, 0.7103526, 0.6449839, 0.5742444, 0.53699595]","[81.88759, 1.9444007, 1.2991017, 0.9545193, 0.7369385, 0.65704083, 0.7821134, 0.67920715, 0.51206267, 0.4948575]","[14.938096, 2.2910588, 1.5394244, 1.1832391, 0.9602857, 0.8396432, 0.71034515, 0.6449806, 0.5742507, 0.5370001]",two_encoder,0.007950760138792952,3.0159299092619714,13.076413457270336,0.42,3.62,1.0
GunPoint,10,10,0.0001,"[64, 32, 16]",False,"[5, 5, 5]",False,"[14.342179, 1.7814813, 1.1520394, 0.90363854, 0.7279949, 0.6439541, 0.59543455, 0.5439914, 0.50743204, 0.4752485]","[88.134735, 1.8595688, 1.1899085, 1.0131425, 0.8090918, 0.7200397, 0.60625505, 0.5973547, 0.5388829, 0.49861926]","[14.334797, 1.7814741, 1.1520358, 0.90362746, 0.7279868, 0.6439466, 0.5954337, 0.5439862, 0.507429, 0.4752463]",two_encoder,0.009580889790110281,1.7101704942037468,4.432126362093892,0.3933333333333333,3.3666666666666667,1.0
GunPoint,10,10,0.0001,"[64, 32, 16]",True,"[5, 5, 5]",False,"[12.774107, 1.9266331, 1.2622569, 0.9970064, 0.8288454, 0.71787924, 0.6354161, 0.5484942, 0.49850264, 0.45130864]","[108.99918, 3.4256594, 2.210984, 1.7112402, 1.3093077, 1.0833354, 0.90423036, 0.7962625, 0.75799876, 0.6588306]","[12.7644825, 1.9264834, 1.262162, 0.9969355, 0.8287973, 0.7178426, 0.6353893, 0.5484695, 0.49847665, 0.45128787]",two_encoder,0.009228019027080201,0.7402628970180042,1.0424035474212265,0.4266666666666667,3.3333333333333335,1.0
GunPoint,10,10,0.0001,"[64, 32, 16]",False,"[5, 5, 5]",False,"[13.865933, 2.2505512, 1.4463165, 1.0722942, 0.8685552, 0.76934123, 0.6814485, 0.5931506, 0.53612673, 0.49873194]","[71.692726, 2.494445, 1.5959488, 1.2293521, 1.0445656, 0.95280653, 0.97989416, 1.001944, 0.6383521, 0.74860084]","[13.860135, 2.2505274, 1.4463016, 1.0722784, 0.8685376, 0.76932305, 0.68141866, 0.5931096, 0.53611636, 0.49870712]",two_encoder,0.011269318980992465,1.004140339169227,1.5607279143064148,0.43333333333333335,3.533333333333333,1.0
GunPoint,10,10,0.0002,"[64, 32, 16]",True,"[5, 5, 5]",False,"[16.369366, 2.517712, 1.6048728, 1.153175, 0.9045821, 0.7768474, 0.6852064, 0.62186694, 0.5597191, 0.50696766]","[109.81306, 2.7268534, 1.9379594, 1.4921659, 1.1933258, 1.0185778, 0.9606023, 0.7965482, 0.71994776, 0.62793964]","[16.350674, 2.5176702, 1.6048054, 1.1531075, 0.904524, 0.7767989, 0.6851511, 0.62183195, 0.5596869, 0.5069436]",two_encoder,0.008512296613444137,2.6096603250443096,9.738661163586649,0.41333333333333333,3.4466666666666668,1.0
GunPoint,10,10,0.0002,"[64, 32, 16]",False,"[5, 5, 5]",False,"[11.309001, 1.7921429, 1.1087162, 0.83150965, 0.6607625, 0.56640416, 0.5041364, 0.4562343, 0.42615348, 0.40241534]","[97.71648, 3.0886111, 2.0393429, 1.5181868, 1.2106389, 1.0329809, 0.9178451, 0.75536567, 0.71272445, 0.72168106]","[11.291714, 1.7918826, 1.1085299, 0.8313719, 0.6606526, 0.56631076, 0.50405335, 0.4561744, 0.42609623, 0.40235144]",two_encoder,0.008063364529147125,1.9416208526443288,5.053371086356381,0.4066666666666667,3.566666666666667,1.0
GunPoint,10,10,0.0002,"[64, 32, 16]",True,"[5, 5, 5]",False,"[15.13093, 2.0729885, 1.2549143, 0.926915, 0.75432986, 0.65059704, 0.56407875, 0.50316346, 0.46124566, 0.4201138]","[81.37394, 1.6946825, 1.150352, 0.8270247, 0.65688336, 0.63192326, 0.5072274, 0.5141856, 0.51048076, 0.55301327]","[15.117683, 2.0730643, 1.2549347, 0.9269349, 0.7543496, 0.6506005, 0.56409, 0.5031612, 0.46123582, 0.42008725]",two_encoder,0.006973291048479651,1.4902966555304298,3.231576208085536,0.42,3.48,1.0
GunPoint,10,10,0.0002,"[64, 32, 16]",False,"[5, 5, 5]",False,"[12.182891, 1.4888501, 1.0166163, 0.7728628, 0.6349104, 0.55428326, 0.4978211, 0.4619637, 0.42214164, 0.39142835]","[69.85997, 2.1806715, 1.4895117, 1.0448301, 0.86788976, 0.702274, 0.66583544, 0.6320489, 0.53681415, 0.50709677]","[12.171358, 1.4887117, 1.0165216, 0.77280843, 0.63486415, 0.5542536, 0.4977877, 0.46192965, 0.42211854, 0.39140514]",two_encoder,0.007410263480243063,1.1713148090682872,2.642703296546635,0.4266666666666667,4.14,1.0
