dataset,epoch,batch,similarity_rate,filters,decoder_filter_reverse,kernel_sizes,ed_only,loss_history,similarity_history,reconstruction_history,model,recon,mse,mae,common_nn,common_nn_kmeans,rand_index
GunPoint,0,50,0.01,"[64, 32, 16]",False,"[5, 5, 5]",False,[23.451778],[147.94102],[22.194315],two_encoder,0.9021662069592632,6.251391318926121,47.89066656185986,0,8.386666666666667,0.5954190833763334
GunPoint,10,50,0.01,"[64, 32, 16]",False,"[5, 5, 5]",False,"[23.451778, 3.3749695, 2.0621924, 1.4238213, 1.120159, 1.0249183, 0.78677964, 0.6448942, 0.65775526, 0.52843297, 0.4524147]","[147.94102, 13.377797, 5.632053, 3.334848, 2.3022037, 1.7381977, 1.3738282, 1.144073, 0.9630214, 0.8359876, 0.7275607]","[22.194315, 3.273931, 2.0261335, 1.4045179, 1.1082191, 1.0177135, 0.7808496, 0.63985187, 0.6546716, 0.5253264, 0.44963542]",two_encoder,0.18853424636003036,2.4048314791677576,6.943781607563847,0,8.36,0.5347850452325674
GunPoint,20,50,0.01,"[64, 32, 16]",False,"[5, 5, 5]",False,"[23.451778, 3.3749695, 2.0621924, 1.4238213, 1.120159, 1.0249183, 0.78677964, 0.6448942, 0.65775526, 0.52843297, 0.4524147, 0.51898474, 0.37437135, 0.45463553, 0.34606865, 0.41184452, 0.35545266, 0.28834704, 0.2956322, 0.31321692, 0.2685797]","[147.94102, 13.377797, 5.632053, 3.334848, 2.3022037, 1.7381977, 1.3738282, 1.144073, 0.9630214, 0.8359876, 0.7275607, 0.6417841, 0.5700245, 0.51388735, 0.4643266, 0.42080638, 0.3904995, 0.35906655, 0.33726582, 0.31122506, 0.28830266]","[22.194315, 3.273931, 2.0261335, 1.4045179, 1.1082191, 1.0177135, 0.7808496, 0.63985187, 0.6546716, 0.5253264, 0.44963542, 0.5177443, 0.37239507, 0.45403704, 0.34487405, 0.41175398, 0.35509863, 0.2876327, 0.29521167, 0.31323704, 0.2683805]",two_encoder,0.025010169245589287,1.3728055446477065,2.4350965965281444,0,8.613333333333333,1.0
GunPoint,30,50,0.01,"[64, 32, 16]",False,"[5, 5, 5]",False,"[23.451778, 3.3749695, 2.0621924, 1.4238213, 1.120159, 1.0249183, 0.78677964, 0.6448942, 0.65775526, 0.52843297, 0.4524147, 0.51898474, 0.37437135, 0.45463553, 0.34606865, 0.41184452, 0.35545266, 0.28834704, 0.2956322, 0.31321692, 0.2685797, 0.27650765, 0.25570658, 0.24639359, 0.25403997, 0.23715965, 0.22848548, 0.24836148, 0.21625745, 0.1896643, 0.21102726]","[147.94102, 13.377797, 5.632053, 3.334848, 2.3022037, 1.7381977, 1.3738282, 1.144073, 0.9630214, 0.8359876, 0.7275607, 0.6417841, 0.5700245, 0.51388735, 0.4643266, 0.42080638, 0.3904995, 0.35906655, 0.33726582, 0.31122506, 0.28830266, 0.27250415, 0.2590219, 0.25190896, 0.23188378, 0.22525704, 0.21041667, 0.20277135, 0.19611245, 0.18530834, 0.18415625]","[22.194315, 3.273931, 2.0261335, 1.4045179, 1.1082191, 1.0177135, 0.7808496, 0.63985187, 0.6546716, 0.5253264, 0.44963542, 0.5177443, 0.37239507, 0.45403704, 0.34487405, 0.41175398, 0.35509863, 0.2876327, 0.29521167, 0.31323704, 0.2683805, 0.2765481, 0.25567308, 0.24633786, 0.25426373, 0.2372799, 0.22866799, 0.24882196, 0.21646099, 0.1897083, 0.21129869]",two_encoder,0.014061715000275633,0.8074267964417436,0.9545725646457514,0,8.813333333333333,1.0
GunPoint,40,50,0.01,"[64, 32, 16]",False,"[5, 5, 5]",False,"[23.451778, 3.3749695, 2.0621924, 1.4238213, 1.120159, 1.0249183, 0.78677964, 0.6448942, 0.65775526, 0.52843297, 0.4524147, 0.51898474, 0.37437135, 0.45463553, 0.34606865, 0.41184452, 0.35545266, 0.28834704, 0.2956322, 0.31321692, 0.2685797, 0.27650765, 0.25570658, 0.24639359, 0.25403997, 0.23715965, 0.22848548, 0.24836148, 0.21625745, 0.1896643, 0.21102726, 0.18522641, 0.22576377, 0.17480898, 0.16649853, 0.16922809, 0.1780009, 0.1543516, 0.17072913, 0.17114817, 0.1469417]","[147.94102, 13.377797, 5.632053, 3.334848, 2.3022037, 1.7381977, 1.3738282, 1.144073, 0.9630214, 0.8359876, 0.7275607, 0.6417841, 0.5700245, 0.51388735, 0.4643266, 0.42080638, 0.3904995, 0.35906655, 0.33726582, 0.31122506, 0.28830266, 0.27250415, 0.2590219, 0.25190896, 0.23188378, 0.22525704, 0.21041667, 0.20277135, 0.19611245, 0.18530834, 0.18415625, 0.16995412, 0.16480823, 0.16518241, 0.16260765, 0.15201099, 0.14084412, 0.14665149, 0.13414705, 0.15167552, 0.13420373]","[22.194315, 3.273931, 2.0261335, 1.4045179, 1.1082191, 1.0177135, 0.7808496, 0.63985187, 0.6546716, 0.5253264, 0.44963542, 0.5177443, 0.37239507, 0.45403704, 0.34487405, 0.41175398, 0.35509863, 0.2876327, 0.29521167, 0.31323704, 0.2683805, 0.2765481, 0.25567308, 0.24633786, 0.25426373, 0.2372799, 0.22866799, 0.24882196, 0.21646099, 0.1897083, 0.21129869, 0.18538067, 0.22637951, 0.17490622, 0.16653782, 0.16940199, 0.17837623, 0.15442936, 0.17109862, 0.17134485, 0.14707041]",two_encoder,0.008690874656458328,0.5619072659901593,0.556932306759006,0,8.853333333333333,1.0
GunPoint,50,50,0.01,"[64, 32, 16]",False,"[5, 5, 5]",False,"[23.451778, 3.3749695, 2.0621924, 1.4238213, 1.120159, 1.0249183, 0.78677964, 0.6448942, 0.65775526, 0.52843297, 0.4524147, 0.51898474, 0.37437135, 0.45463553, 0.34606865, 0.41184452, 0.35545266, 0.28834704, 0.2956322, 0.31321692, 0.2685797, 0.27650765, 0.25570658, 0.24639359, 0.25403997, 0.23715965, 0.22848548, 0.24836148, 0.21625745, 0.1896643, 0.21102726, 0.18522641, 0.22576377, 0.17480898, 0.16649853, 0.16922809, 0.1780009, 0.1543516, 0.17072913, 0.17114817, 0.1469417, 0.15704413, 0.12889579, 0.1564649, 0.13930167, 0.13783382, 0.15203205, 0.14643107, 0.11879915, 0.13904825, 0.13614799]","[147.94102, 13.377797, 5.632053, 3.334848, 2.3022037, 1.7381977, 1.3738282, 1.144073, 0.9630214, 0.8359876, 0.7275607, 0.6417841, 0.5700245, 0.51388735, 0.4643266, 0.42080638, 0.3904995, 0.35906655, 0.33726582, 0.31122506, 0.28830266, 0.27250415, 0.2590219, 0.25190896, 0.23188378, 0.22525704, 0.21041667, 0.20277135, 0.19611245, 0.18530834, 0.18415625, 0.16995412, 0.16480823, 0.16518241, 0.16260765, 0.15201099, 0.14084412, 0.14665149, 0.13414705, 0.15167552, 0.13420373, 0.12898375, 0.12263092, 0.13436553, 0.12504219, 0.10933638, 0.11250522, 0.11197434, 0.11318291, 0.10623308, 0.11807846]","[22.194315, 3.273931, 2.0261335, 1.4045179, 1.1082191, 1.0177135, 0.7808496, 0.63985187, 0.6546716, 0.5253264, 0.44963542, 0.5177443, 0.37239507, 0.45403704, 0.34487405, 0.41175398, 0.35509863, 0.2876327, 0.29521167, 0.31323704, 0.2683805, 0.2765481, 0.25567308, 0.24633786, 0.25426373, 0.2372799, 0.22866799, 0.24882196, 0.21646099, 0.1897083, 0.21129869, 0.18538067, 0.22637951, 0.17490622, 0.16653782, 0.16940199, 0.17837623, 0.15442936, 0.17109862, 0.17134485, 0.14707041, 0.15732753, 0.12895906, 0.15668815, 0.13944569, 0.13812166, 0.15243135, 0.14677909, 0.11885587, 0.13937972, 0.13633052]",two_encoder,0.008272461681229035,0.39878830565059065,0.30623796433627964,0,8.886666666666667,1.0
GunPoint,60,50,0.01,"[64, 32, 16]",False,"[5, 5, 5]",False,"[23.451778, 3.3749695, 2.0621924, 1.4238213, 1.120159, 1.0249183, 0.78677964, 0.6448942, 0.65775526, 0.52843297, 0.4524147, 0.51898474, 0.37437135, 0.45463553, 0.34606865, 0.41184452, 0.35545266, 0.28834704, 0.2956322, 0.31321692, 0.2685797, 0.27650765, 0.25570658, 0.24639359, 0.25403997, 0.23715965, 0.22848548, 0.24836148, 0.21625745, 0.1896643, 0.21102726, 0.18522641, 0.22576377, 0.17480898, 0.16649853, 0.16922809, 0.1780009, 0.1543516, 0.17072913, 0.17114817, 0.1469417, 0.15704413, 0.12889579, 0.1564649, 0.13930167, 0.13783382, 0.15203205, 0.14643107, 0.11879915, 0.13904825, 0.13614799, 0.11840815, 0.14056368, 0.12429558, 0.11452473, 0.1155304, 0.11541869, 0.115084015, 0.10839127, 0.11681788, 0.12472235]","[147.94102, 13.377797, 5.632053, 3.334848, 2.3022037, 1.7381977, 1.3738282, 1.144073, 0.9630214, 0.8359876, 0.7275607, 0.6417841, 0.5700245, 0.51388735, 0.4643266, 0.42080638, 0.3904995, 0.35906655, 0.33726582, 0.31122506, 0.28830266, 0.27250415, 0.2590219, 0.25190896, 0.23188378, 0.22525704, 0.21041667, 0.20277135, 0.19611245, 0.18530834, 0.18415625, 0.16995412, 0.16480823, 0.16518241, 0.16260765, 0.15201099, 0.14084412, 0.14665149, 0.13414705, 0.15167552, 0.13420373, 0.12898375, 0.12263092, 0.13436553, 0.12504219, 0.10933638, 0.11250522, 0.11197434, 0.11318291, 0.10623308, 0.11807846, 0.09810088, 0.11248604, 0.12955444, 0.12705319, 0.09741032, 0.09465368, 0.12199935, 0.091879085, 0.107473955, 0.27509624]","[22.194315, 3.273931, 2.0261335, 1.4045179, 1.1082191, 1.0177135, 0.7808496, 0.63985187, 0.6546716, 0.5253264, 0.44963542, 0.5177443, 0.37239507, 0.45403704, 0.34487405, 0.41175398, 0.35509863, 0.2876327, 0.29521167, 0.31323704, 0.2683805, 0.2765481, 0.25567308, 0.24633786, 0.25426373, 0.2372799, 0.22866799, 0.24882196, 0.21646099, 0.1897083, 0.21129869, 0.18538067, 0.22637951, 0.17490622, 0.16653782, 0.16940199, 0.17837623, 0.15442936, 0.17109862, 0.17134485, 0.14707041, 0.15732753, 0.12895906, 0.15668815, 0.13944569, 0.13812166, 0.15243135, 0.14677909, 0.11885587, 0.13937972, 0.13633052, 0.11861328, 0.14084733, 0.124242455, 0.11439817, 0.115713425, 0.115628436, 0.11501418, 0.10855807, 0.11691227, 0.1232034]",two_encoder,0.008668547738456777,0.39615036099054535,0.2648580548429482,0,8.906666666666666,1.0
GunPoint,70,50,0.01,"[64, 32, 16]",False,"[5, 5, 5]",False,"[23.451778, 3.3749695, 2.0621924, 1.4238213, 1.120159, 1.0249183, 0.78677964, 0.6448942, 0.65775526, 0.52843297, 0.4524147, 0.51898474, 0.37437135, 0.45463553, 0.34606865, 0.41184452, 0.35545266, 0.28834704, 0.2956322, 0.31321692, 0.2685797, 0.27650765, 0.25570658, 0.24639359, 0.25403997, 0.23715965, 0.22848548, 0.24836148, 0.21625745, 0.1896643, 0.21102726, 0.18522641, 0.22576377, 0.17480898, 0.16649853, 0.16922809, 0.1780009, 0.1543516, 0.17072913, 0.17114817, 0.1469417, 0.15704413, 0.12889579, 0.1564649, 0.13930167, 0.13783382, 0.15203205, 0.14643107, 0.11879915, 0.13904825, 0.13614799, 0.11840815, 0.14056368, 0.12429558, 0.11452473, 0.1155304, 0.11541869, 0.115084015, 0.10839127, 0.11681788, 0.12472235, 0.14754595, 0.098392926, 0.10418555, 0.10989787, 0.09842308, 0.097910516, 0.11530258, 0.09506278, 0.10431845, 0.10056023]","[147.94102, 13.377797, 5.632053, 3.334848, 2.3022037, 1.7381977, 1.3738282, 1.144073, 0.9630214, 0.8359876, 0.7275607, 0.6417841, 0.5700245, 0.51388735, 0.4643266, 0.42080638, 0.3904995, 0.35906655, 0.33726582, 0.31122506, 0.28830266, 0.27250415, 0.2590219, 0.25190896, 0.23188378, 0.22525704, 0.21041667, 0.20277135, 0.19611245, 0.18530834, 0.18415625, 0.16995412, 0.16480823, 0.16518241, 0.16260765, 0.15201099, 0.14084412, 0.14665149, 0.13414705, 0.15167552, 0.13420373, 0.12898375, 0.12263092, 0.13436553, 0.12504219, 0.10933638, 0.11250522, 0.11197434, 0.11318291, 0.10623308, 0.11807846, 0.09810088, 0.11248604, 0.12955444, 0.12705319, 0.09741032, 0.09465368, 0.12199935, 0.091879085, 0.107473955, 0.27509624, 4.9426947, 0.11271362, 0.107619286, 0.089950524, 0.09395538, 0.074890636, 0.07349879, 0.08599114, 0.091919504, 0.086542964]","[22.194315, 3.273931, 2.0261335, 1.4045179, 1.1082191, 1.0177135, 0.7808496, 0.63985187, 0.6546716, 0.5253264, 0.44963542, 0.5177443, 0.37239507, 0.45403704, 0.34487405, 0.41175398, 0.35509863, 0.2876327, 0.29521167, 0.31323704, 0.2683805, 0.2765481, 0.25567308, 0.24633786, 0.25426373, 0.2372799, 0.22866799, 0.24882196, 0.21646099, 0.1897083, 0.21129869, 0.18538067, 0.22637951, 0.17490622, 0.16653782, 0.16940199, 0.17837623, 0.15442936, 0.17109862, 0.17134485, 0.14707041, 0.15732753, 0.12895906, 0.15668815, 0.13944569, 0.13812166, 0.15243135, 0.14677909, 0.11885587, 0.13937972, 0.13633052, 0.11861328, 0.14084733, 0.124242455, 0.11439817, 0.115713425, 0.115628436, 0.11501418, 0.10855807, 0.11691227, 0.1232034, 0.09911012, 0.09824826, 0.10415084, 0.110099345, 0.09846823, 0.09814303, 0.11572486, 0.09515439, 0.10444368, 0.10070182]",two_encoder,0.007888707883226138,0.4834966439320908,0.3813260119704672,0,8.94,1.0
GunPoint,80,50,0.01,"[64, 32, 16]",False,"[5, 5, 5]",False,"[23.451778, 3.3749695, 2.0621924, 1.4238213, 1.120159, 1.0249183, 0.78677964, 0.6448942, 0.65775526, 0.52843297, 0.4524147, 0.51898474, 0.37437135, 0.45463553, 0.34606865, 0.41184452, 0.35545266, 0.28834704, 0.2956322, 0.31321692, 0.2685797, 0.27650765, 0.25570658, 0.24639359, 0.25403997, 0.23715965, 0.22848548, 0.24836148, 0.21625745, 0.1896643, 0.21102726, 0.18522641, 0.22576377, 0.17480898, 0.16649853, 0.16922809, 0.1780009, 0.1543516, 0.17072913, 0.17114817, 0.1469417, 0.15704413, 0.12889579, 0.1564649, 0.13930167, 0.13783382, 0.15203205, 0.14643107, 0.11879915, 0.13904825, 0.13614799, 0.11840815, 0.14056368, 0.12429558, 0.11452473, 0.1155304, 0.11541869, 0.115084015, 0.10839127, 0.11681788, 0.12472235, 0.14754595, 0.098392926, 0.10418555, 0.10989787, 0.09842308, 0.097910516, 0.11530258, 0.09506278, 0.10431845, 0.10056023, 0.085641295, 0.09470856, 0.09026065, 0.09648194, 0.081183486, 0.102293245, 0.08411681, 0.08297148, 0.08425647, 0.09372982]","[147.94102, 13.377797, 5.632053, 3.334848, 2.3022037, 1.7381977, 1.3738282, 1.144073, 0.9630214, 0.8359876, 0.7275607, 0.6417841, 0.5700245, 0.51388735, 0.4643266, 0.42080638, 0.3904995, 0.35906655, 0.33726582, 0.31122506, 0.28830266, 0.27250415, 0.2590219, 0.25190896, 0.23188378, 0.22525704, 0.21041667, 0.20277135, 0.19611245, 0.18530834, 0.18415625, 0.16995412, 0.16480823, 0.16518241, 0.16260765, 0.15201099, 0.14084412, 0.14665149, 0.13414705, 0.15167552, 0.13420373, 0.12898375, 0.12263092, 0.13436553, 0.12504219, 0.10933638, 0.11250522, 0.11197434, 0.11318291, 0.10623308, 0.11807846, 0.09810088, 0.11248604, 0.12955444, 0.12705319, 0.09741032, 0.09465368, 0.12199935, 0.091879085, 0.107473955, 0.27509624, 4.9426947, 0.11271362, 0.107619286, 0.089950524, 0.09395538, 0.074890636, 0.07349879, 0.08599114, 0.091919504, 0.086542964, 0.07988062, 0.06771034, 0.06979586, 0.084611654, 0.06326455, 0.06886885, 0.07451721, 0.075575575, 0.07908687, 0.063244194]","[22.194315, 3.273931, 2.0261335, 1.4045179, 1.1082191, 1.0177135, 0.7808496, 0.63985187, 0.6546716, 0.5253264, 0.44963542, 0.5177443, 0.37239507, 0.45403704, 0.34487405, 0.41175398, 0.35509863, 0.2876327, 0.29521167, 0.31323704, 0.2683805, 0.2765481, 0.25567308, 0.24633786, 0.25426373, 0.2372799, 0.22866799, 0.24882196, 0.21646099, 0.1897083, 0.21129869, 0.18538067, 0.22637951, 0.17490622, 0.16653782, 0.16940199, 0.17837623, 0.15442936, 0.17109862, 0.17134485, 0.14707041, 0.15732753, 0.12895906, 0.15668815, 0.13944569, 0.13812166, 0.15243135, 0.14677909, 0.11885587, 0.13937972, 0.13633052, 0.11861328, 0.14084733, 0.124242455, 0.11439817, 0.115713425, 0.115628436, 0.11501418, 0.10855807, 0.11691227, 0.1232034, 0.09911012, 0.09824826, 0.10415084, 0.110099345, 0.09846823, 0.09814303, 0.11572486, 0.09515439, 0.10444368, 0.10070182, 0.085699484, 0.09498126, 0.090467386, 0.09660185, 0.081364505, 0.102630876, 0.08421377, 0.08304619, 0.084308684, 0.09403776]",two_encoder,0.007585066379199214,0.6387485488553325,0.6272104031496035,0,9.006666666666666,1.0
GunPoint,90,50,0.01,"[64, 32, 16]",False,"[5, 5, 5]",False,"[23.451778, 3.3749695, 2.0621924, 1.4238213, 1.120159, 1.0249183, 0.78677964, 0.6448942, 0.65775526, 0.52843297, 0.4524147, 0.51898474, 0.37437135, 0.45463553, 0.34606865, 0.41184452, 0.35545266, 0.28834704, 0.2956322, 0.31321692, 0.2685797, 0.27650765, 0.25570658, 0.24639359, 0.25403997, 0.23715965, 0.22848548, 0.24836148, 0.21625745, 0.1896643, 0.21102726, 0.18522641, 0.22576377, 0.17480898, 0.16649853, 0.16922809, 0.1780009, 0.1543516, 0.17072913, 0.17114817, 0.1469417, 0.15704413, 0.12889579, 0.1564649, 0.13930167, 0.13783382, 0.15203205, 0.14643107, 0.11879915, 0.13904825, 0.13614799, 0.11840815, 0.14056368, 0.12429558, 0.11452473, 0.1155304, 0.11541869, 0.115084015, 0.10839127, 0.11681788, 0.12472235, 0.14754595, 0.098392926, 0.10418555, 0.10989787, 0.09842308, 0.097910516, 0.11530258, 0.09506278, 0.10431845, 0.10056023, 0.085641295, 0.09470856, 0.09026065, 0.09648194, 0.081183486, 0.102293245, 0.08411681, 0.08297148, 0.08425647, 0.09372982, 0.09126157, 0.07986558, 0.077800736, 0.07889303, 0.094298184, 0.07725067, 0.070433594, 0.07226905, 0.08680669, 0.07583033]","[147.94102, 13.377797, 5.632053, 3.334848, 2.3022037, 1.7381977, 1.3738282, 1.144073, 0.9630214, 0.8359876, 0.7275607, 0.6417841, 0.5700245, 0.51388735, 0.4643266, 0.42080638, 0.3904995, 0.35906655, 0.33726582, 0.31122506, 0.28830266, 0.27250415, 0.2590219, 0.25190896, 0.23188378, 0.22525704, 0.21041667, 0.20277135, 0.19611245, 0.18530834, 0.18415625, 0.16995412, 0.16480823, 0.16518241, 0.16260765, 0.15201099, 0.14084412, 0.14665149, 0.13414705, 0.15167552, 0.13420373, 0.12898375, 0.12263092, 0.13436553, 0.12504219, 0.10933638, 0.11250522, 0.11197434, 0.11318291, 0.10623308, 0.11807846, 0.09810088, 0.11248604, 0.12955444, 0.12705319, 0.09741032, 0.09465368, 0.12199935, 0.091879085, 0.107473955, 0.27509624, 4.9426947, 0.11271362, 0.107619286, 0.089950524, 0.09395538, 0.074890636, 0.07349879, 0.08599114, 0.091919504, 0.086542964, 0.07988062, 0.06771034, 0.06979586, 0.084611654, 0.06326455, 0.06886885, 0.07451721, 0.075575575, 0.07908687, 0.063244194, 0.08040069, 0.07925413, 0.08848371, 0.08447356, 0.110205814, 0.067538895, 0.06681311, 0.08731319, 0.067147285, 0.17470291]","[22.194315, 3.273931, 2.0261335, 1.4045179, 1.1082191, 1.0177135, 0.7808496, 0.63985187, 0.6546716, 0.5253264, 0.44963542, 0.5177443, 0.37239507, 0.45403704, 0.34487405, 0.41175398, 0.35509863, 0.2876327, 0.29521167, 0.31323704, 0.2683805, 0.2765481, 0.25567308, 0.24633786, 0.25426373, 0.2372799, 0.22866799, 0.24882196, 0.21646099, 0.1897083, 0.21129869, 0.18538067, 0.22637951, 0.17490622, 0.16653782, 0.16940199, 0.17837623, 0.15442936, 0.17109862, 0.17134485, 0.14707041, 0.15732753, 0.12895906, 0.15668815, 0.13944569, 0.13812166, 0.15243135, 0.14677909, 0.11885587, 0.13937972, 0.13633052, 0.11861328, 0.14084733, 0.124242455, 0.11439817, 0.115713425, 0.115628436, 0.11501418, 0.10855807, 0.11691227, 0.1232034, 0.09911012, 0.09824826, 0.10415084, 0.110099345, 0.09846823, 0.09814303, 0.11572486, 0.09515439, 0.10444368, 0.10070182, 0.085699484, 0.09498126, 0.090467386, 0.09660185, 0.081364505, 0.102630876, 0.08421377, 0.08304619, 0.084308684, 0.09403776, 0.091371275, 0.07987176, 0.07769284, 0.078836665, 0.094137505, 0.077348754, 0.07047018, 0.07211709, 0.087005265, 0.074831635]",two_encoder,0.007316316973539958,0.8038213856752137,0.9296588069285168,0,9.006666666666666,1.0
