dataset,epoch,batch,similarity_rate,filters,decoder_filter_reverse,kernel_sizes,ed_only,loss_history,similarity_history,reconstruction_history,model,recon,mse,mae,common_nn_sbd,common_nn_ed,rand_index
GunPoint,0,50,0.01,"[64, 32, 16]",False,"[5, 5, 5]",False,[22.83229],[150.5831],[21.541872],two_encoder,0.9038057855058632,6.401405417706375,50.5083211626676,7.993333333333333,8.02,0.04651207414300928
GunPoint,10,50,0.01,"[64, 32, 16]",False,"[5, 5, 5]",False,"[22.83229, 3.6511788, 2.0217652, 1.424414, 1.1364373, 0.8641581, 0.8328461, 0.6503347, 0.5943529, 0.5824785, 0.4328842]","[150.5831, 11.813698, 4.6421876, 2.6681416, 1.8039312, 1.3846811, 1.1075553, 0.9185024, 0.76563114, 0.6681303, 0.5865517]","[21.541872, 3.5687292, 1.9952959, 1.4118514, 1.1296947, 0.85890007, 0.8300713, 0.647626, 0.59262276, 0.5816134, 0.43133205]",two_encoder,0.30228318430958157,2.9061022955288047,10.97149426083396,7.94,8.44,0.9470248524197398
GunPoint,20,50,0.01,"[64, 32, 16]",False,"[5, 5, 5]",False,"[22.83229, 3.6511788, 2.0217652, 1.424414, 1.1364373, 0.8641581, 0.8328461, 0.6503347, 0.5943529, 0.5824785, 0.4328842, 0.45858672, 0.37419778, 0.40829983, 0.3504838, 0.29218483, 0.3063758, 0.30698577, 0.25115818, 0.2520442, 0.26639122]","[150.5831, 11.813698, 4.6421876, 2.6681416, 1.8039312, 1.3846811, 1.1075553, 0.9185024, 0.76563114, 0.6681303, 0.5865517, 0.5238517, 0.4587062, 0.41703892, 0.3850545, 0.34533978, 0.31908718, 0.29079053, 0.2756232, 0.25420427, 0.24350533]","[21.541872, 3.5687292, 1.9952959, 1.4118514, 1.1296947, 0.85890007, 0.8300713, 0.647626, 0.59262276, 0.5816134, 0.43133205, 0.4579275, 0.37334406, 0.4082115, 0.3501346, 0.29164794, 0.3062474, 0.30714944, 0.2509111, 0.2520224, 0.2666224]",two_encoder,0.02220334320837059,0.7829291387753223,1.1327718113390102,8.133333333333333,8.52,0.9733333173180291
GunPoint,30,50,0.01,"[64, 32, 16]",False,"[5, 5, 5]",False,"[22.83229, 3.6511788, 2.0217652, 1.424414, 1.1364373, 0.8641581, 0.8328461, 0.6503347, 0.5943529, 0.5824785, 0.4328842, 0.45858672, 0.37419778, 0.40829983, 0.3504838, 0.29218483, 0.3063758, 0.30698577, 0.25115818, 0.2520442, 0.26639122, 0.2391911, 0.25985557, 0.19963983, 0.21119434, 0.1755617, 0.2131555, 0.18292479, 0.18335396, 0.17135744, 0.14826128]","[150.5831, 11.813698, 4.6421876, 2.6681416, 1.8039312, 1.3846811, 1.1075553, 0.9185024, 0.76563114, 0.6681303, 0.5865517, 0.5238517, 0.4587062, 0.41703892, 0.3850545, 0.34533978, 0.31908718, 0.29079053, 0.2756232, 0.25420427, 0.24350533, 0.22747497, 0.21265543, 0.20047672, 0.1920774, 0.17834534, 0.16677582, 0.16140223, 0.15514587, 0.15047714, 0.14712238]","[21.541872, 3.5687292, 1.9952959, 1.4118514, 1.1296947, 0.85890007, 0.8300713, 0.647626, 0.59262276, 0.5816134, 0.43133205, 0.4579275, 0.37334406, 0.4082115, 0.3501346, 0.29164794, 0.3062474, 0.30714944, 0.2509111, 0.2520224, 0.2666224, 0.23930946, 0.2603323, 0.19963136, 0.21138746, 0.17553358, 0.213624, 0.18314217, 0.18363892, 0.17156835, 0.14827275]",two_encoder,0.011467800810283719,0.7535235703369905,0.96976570879986,8.226666666666667,8.626666666666667,1.0
GunPoint,40,50,0.01,"[64, 32, 16]",False,"[5, 5, 5]",False,"[22.83229, 3.6511788, 2.0217652, 1.424414, 1.1364373, 0.8641581, 0.8328461, 0.6503347, 0.5943529, 0.5824785, 0.4328842, 0.45858672, 0.37419778, 0.40829983, 0.3504838, 0.29218483, 0.3063758, 0.30698577, 0.25115818, 0.2520442, 0.26639122, 0.2391911, 0.25985557, 0.19963983, 0.21119434, 0.1755617, 0.2131555, 0.18292479, 0.18335396, 0.17135744, 0.14826128, 0.19908625, 0.16236977, 0.14913109, 0.1460236, 0.1485758, 0.14836383, 0.13695243, 0.13644403, 0.14276558, 0.12391417]","[150.5831, 11.813698, 4.6421876, 2.6681416, 1.8039312, 1.3846811, 1.1075553, 0.9185024, 0.76563114, 0.6681303, 0.5865517, 0.5238517, 0.4587062, 0.41703892, 0.3850545, 0.34533978, 0.31908718, 0.29079053, 0.2756232, 0.25420427, 0.24350533, 0.22747497, 0.21265543, 0.20047672, 0.1920774, 0.17834534, 0.16677582, 0.16140223, 0.15514587, 0.15047714, 0.14712238, 0.13897568, 0.13509575, 0.13802187, 0.12121624, 0.11548391, 0.14275256, 0.11629871, 0.107864484, 0.10553479, 0.10683942]","[21.541872, 3.5687292, 1.9952959, 1.4118514, 1.1296947, 0.85890007, 0.8300713, 0.647626, 0.59262276, 0.5816134, 0.43133205, 0.4579275, 0.37334406, 0.4082115, 0.3501346, 0.29164794, 0.3062474, 0.30714944, 0.2509111, 0.2520224, 0.2666224, 0.23930946, 0.2603323, 0.19963136, 0.21138746, 0.17553358, 0.213624, 0.18314217, 0.18363892, 0.17156835, 0.14827275, 0.19969344, 0.16264527, 0.1492433, 0.14627418, 0.14891008, 0.14842048, 0.13716108, 0.1367327, 0.14314167, 0.12408664]",two_encoder,0.010167206349922998,0.8236188414491645,1.2964236804379679,8.346666666666666,8.806666666666667,1.0
