dataset,epoch,batch,similarity_rate,filters,decoder_filter_reverse,kernel_sizes,ed_only,loss_history,similarity_history,reconstruction_history,model,recon,mse,mae,common_nn_old,common_nn,rand_index
GunPoint,0,50,0.001,"[64, 32, 16]",True,"[5, 5, 5]",False,[20.549881],[138.30319],[20.432005],two_encoder,0.9216975440230079,6.355032032712003,49.741388663995956,0.42,8.326666666666666,0.42321103238056207
GunPoint,10,50,0.001,"[64, 32, 16]",True,"[5, 5, 5]",False,"[20.549881, 4.9646373, 2.6996505, 1.7033225, 1.4216628, 1.0421025, 0.95325553, 0.7745755, 0.71152365, 0.64094347, 0.62988913]","[138.30319, 10.435582, 4.556121, 2.758225, 1.9476665, 1.4994613, 1.2180556, 1.0209, 0.8732215, 0.7598298, 0.6722677]","[20.432005, 4.959161, 2.697792, 1.7022667, 1.4211363, 1.0416446, 0.9529905, 0.7743289, 0.71136177, 0.6408245, 0.6298467]",two_encoder,0.27682554115217434,3.5244769423715185,16.143784531283284,0.4066666666666667,8.866666666666667,0.9733333173180291
GunPoint,20,50,0.001,"[64, 32, 16]",True,"[5, 5, 5]",False,"[20.549881, 4.9646373, 2.6996505, 1.7033225, 1.4216628, 1.0421025, 0.95325553, 0.7745755, 0.71152365, 0.64094347, 0.62988913, 0.51227057, 0.46592999, 0.49292555, 0.4692707, 0.39371964, 0.41485023, 0.37863395, 0.3401983, 0.32506078, 0.35376382]","[138.30319, 10.435582, 4.556121, 2.758225, 1.9476665, 1.4994613, 1.2180556, 1.0209, 0.8732215, 0.7598298, 0.6722677, 0.6002877, 0.53843665, 0.48400083, 0.4390301, 0.39870995, 0.37338197, 0.34577078, 0.3195503, 0.29438654, 0.28050974]","[20.432005, 4.959161, 2.697792, 1.7022667, 1.4211363, 1.0416446, 0.9529905, 0.7743289, 0.71136177, 0.6408245, 0.6298467, 0.51218253, 0.46585736, 0.49293453, 0.46930087, 0.39371467, 0.41489175, 0.3786668, 0.34021893, 0.32509148, 0.35383713]",two_encoder,0.0166652659104536,1.0481863209966535,1.8220833474422353,0.4,9.16,0.9733333173180291
GunPoint,30,50,0.001,"[64, 32, 16]",True,"[5, 5, 5]",False,"[20.549881, 4.9646373, 2.6996505, 1.7033225, 1.4216628, 1.0421025, 0.95325553, 0.7745755, 0.71152365, 0.64094347, 0.62988913, 0.51227057, 0.46592999, 0.49292555, 0.4692707, 0.39371964, 0.41485023, 0.37863395, 0.3401983, 0.32506078, 0.35376382, 0.2965448, 0.29017755, 0.26438555, 0.29533705, 0.24067879, 0.25789034, 0.21647404, 0.27080658, 0.22806777, 0.22600365]","[138.30319, 10.435582, 4.556121, 2.758225, 1.9476665, 1.4994613, 1.2180556, 1.0209, 0.8732215, 0.7598298, 0.6722677, 0.6002877, 0.53843665, 0.48400083, 0.4390301, 0.39870995, 0.37338197, 0.34577078, 0.3195503, 0.29438654, 0.28050974, 0.26345223, 0.2441291, 0.23376445, 0.21807207, 0.2062827, 0.20086129, 0.18669626, 0.18373208, 0.17926815, 0.1663288]","[20.432005, 4.959161, 2.697792, 1.7022667, 1.4211363, 1.0416446, 0.9529905, 0.7743289, 0.71136177, 0.6408245, 0.6298467, 0.51218253, 0.46585736, 0.49293453, 0.46930087, 0.39371467, 0.41489175, 0.3786668, 0.34021893, 0.32509148, 0.35383713, 0.2965778, 0.2902236, 0.2644162, 0.29541433, 0.24071321, 0.25794744, 0.21650387, 0.2708938, 0.22811657, 0.22606339]",two_encoder,0.01262206642955821,0.6513991864560968,0.6882283812173342,0.41333333333333333,9.26,0.9733333173180291
GunPoint,40,50,0.001,"[64, 32, 16]",True,"[5, 5, 5]",False,"[20.549881, 4.9646373, 2.6996505, 1.7033225, 1.4216628, 1.0421025, 0.95325553, 0.7745755, 0.71152365, 0.64094347, 0.62988913, 0.51227057, 0.46592999, 0.49292555, 0.4692707, 0.39371964, 0.41485023, 0.37863395, 0.3401983, 0.32506078, 0.35376382, 0.2965448, 0.29017755, 0.26438555, 0.29533705, 0.24067879, 0.25789034, 0.21647404, 0.27080658, 0.22806777, 0.22600365, 0.20629635, 0.19852951, 0.21302524, 0.17798877, 0.20381871, 0.19235556, 0.18208382, 0.16199784, 0.17045175, 0.15551254]","[138.30319, 10.435582, 4.556121, 2.758225, 1.9476665, 1.4994613, 1.2180556, 1.0209, 0.8732215, 0.7598298, 0.6722677, 0.6002877, 0.53843665, 0.48400083, 0.4390301, 0.39870995, 0.37338197, 0.34577078, 0.3195503, 0.29438654, 0.28050974, 0.26345223, 0.2441291, 0.23376445, 0.21807207, 0.2062827, 0.20086129, 0.18669626, 0.18373208, 0.17926815, 0.1663288, 0.16057223, 0.15378249, 0.14332156, 0.13787723, 0.13731506, 0.13538288, 0.123184904, 0.122779734, 0.122651726, 0.12061702]","[20.432005, 4.959161, 2.697792, 1.7022667, 1.4211363, 1.0416446, 0.9529905, 0.7743289, 0.71136177, 0.6408245, 0.6298467, 0.51218253, 0.46585736, 0.49293453, 0.46930087, 0.39371467, 0.41489175, 0.3786668, 0.34021893, 0.32509148, 0.35383713, 0.2965778, 0.2902236, 0.2644162, 0.29541433, 0.24071321, 0.25794744, 0.21650387, 0.2708938, 0.22811657, 0.22606339, 0.20634213, 0.19857429, 0.21309498, 0.17802891, 0.20388526, 0.19241259, 0.18214276, 0.1620371, 0.17049962, 0.15554745]",two_encoder,0.012300982356737348,0.5552629934552493,0.49162359346722573,0.4066666666666667,9.38,0.9733333173180291
